pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,70.93,winning_ticket,Conv-2,5
1,19.9103137136735,80.0896862863265,70.45,winning_ticket,Conv-2,5
2,35.847544008452005,64.152455991548,70.66,winning_ticket,Conv-2,5
3,48.60539150037945,51.39460849962055,70.26,winning_ticket,Conv-2,5
4,58.81894223472166,41.18105776527833,70.44,winning_ticket,Conv-2,5
5,66.99635804949185,33.00364195050816,70.21,winning_ticket,Conv-2,5
6,73.54414981474041,26.45585018525959,71.14,winning_ticket,Conv-2,5
7,78.7876610791185,21.212338920881507,70.76,winning_ticket,Conv-2,5
8,82.98727363361755,17.012726366382452,70.07,winning_ticket,Conv-2,5
9,86.3512650104906,13.648734989509398,69.83,winning_ticket,Conv-2,5
10,89.04629443626028,10.953705563739714,69.94,winning_ticket,Conv-2,5
11,91.20579624421529,8.79420375578471,69.76,winning_ticket,Conv-2,5
12,92.93653650134667,7.063463498653334,69.57,winning_ticket,Conv-2,5
13,94.32393736142731,5.676062638572683,69.23,winning_ticket,Conv-2,5
14,95.43640164873592,4.56359835126408,69.02,winning_ticket,Conv-2,5
15,96.32866092287546,3.671339077124533,68.88,winning_ticket,Conv-2,5
16,97.04451903188846,2.9554809681115426,68.86,winning_ticket,Conv-2,5
17,97.619037654569,2.3809623454310076,68.35,winning_ticket,Conv-2,5
18,98.08034983557282,1.919650164427183,67.55,winning_ticket,Conv-2,5
19,98.45084575837389,1.549154241626118,67.03,winning_ticket,Conv-2,5
20,98.74861427317234,1.2513857268276714,66.76,winning_ticket,Conv-2,5
