pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,79.57,random_reinit,Conv-4,2
1,18.9288848275316,81.0711151724684,79.61,random_reinit,Conv-4,2
2,34.17912564989047,65.82087435010952,79.61,random_reinit,Conv-4,2
3,46.47570498271357,53.52429501728643,79.0,random_reinit,Conv-4,2
4,56.39973047689425,43.60026952310575,78.01,random_reinit,Conv-4,2
5,64.41713566546146,35.58286433453854,76.88,random_reinit,Conv-4,2
6,70.9012776780766,29.09872232192341,75.25,random_reinit,Conv-4,2
7,76.15182365205457,23.848176347945422,74.81,random_reinit,Conv-4,2
8,80.40926605262464,19.590733947375366,72.57,random_reinit,Conv-4,2
9,83.8664689504104,16.13353104958961,69.69,random_reinit,Conv-4,2
10,86.67831741046686,13.321682589533134,67.68,random_reinit,Conv-4,2
11,88.96930504605315,11.030694953946847,67.73,random_reinit,Conv-4,2
12,90.83943086748832,9.160569132511679,63.73,random_reinit,Conv-4,2
13,92.36914768678578,7.63085231321422,61.21,random_reinit,Conv-4,2
14,93.6231558945396,6.3768441054604,57.23,random_reinit,Conv-4,2
15,94.65366115964213,5.346338840357869,55.73,random_reinit,Conv-4,2
16,95.50251873795888,4.497481262041117,52.28,random_reinit,Conv-4,2
17,96.2036664379404,3.7963335620595924,50.1,random_reinit,Conv-4,2
18,96.78448543189675,3.2155145681032433,46.95,random_reinit,Conv-4,2
19,97.26695488374548,2.7330451162545195,44.44,random_reinit,Conv-4,2
20,97.6690127602861,2.330987239713916,40.52,random_reinit,Conv-4,2
