pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,76.4,random_reinit,Conv-4,3
1,18.9288848275316,81.0711151724684,76.3,random_reinit,Conv-4,3
2,34.17912564989047,65.82087435010952,75.67,random_reinit,Conv-4,3
3,46.47570498271357,53.52429501728643,75.57,random_reinit,Conv-4,3
4,56.39973047689425,43.60026952310575,74.52,random_reinit,Conv-4,3
5,64.41713566546146,35.58286433453854,73.6,random_reinit,Conv-4,3
6,70.9012776780766,29.09872232192341,72.76,random_reinit,Conv-4,3
7,76.15182365205457,23.848176347945422,71.6,random_reinit,Conv-4,3
8,80.40926605262464,19.590733947375366,72.25,random_reinit,Conv-4,3
9,83.8664689504104,16.13353104958961,71.7,random_reinit,Conv-4,3
10,86.67831741046686,13.321682589533134,72.32,random_reinit,Conv-4,3
11,88.96930504605315,11.030694953946847,70.46,random_reinit,Conv-4,3
12,90.83943086748832,9.160569132511679,70.12,random_reinit,Conv-4,3
13,92.36914768678578,7.63085231321422,69.27,random_reinit,Conv-4,3
14,93.6231558945396,6.3768441054604,69.8,random_reinit,Conv-4,3
15,94.65366115964213,5.346338840357869,66.48,random_reinit,Conv-4,3
16,95.50251873795888,4.497481262041117,65.08,random_reinit,Conv-4,3
17,96.2036664379404,3.7963335620595924,64.36,random_reinit,Conv-4,3
18,96.78448543189675,3.2155145681032433,63.14,random_reinit,Conv-4,3
19,97.26695488374548,2.7330451162545195,61.96,random_reinit,Conv-4,3
20,97.6690127602861,2.330987239713916,58.97,random_reinit,Conv-4,3
