pruning_iteration,sparsity_pct,weights_remaining_pct,test_accuracy,run_type,arch,seed
0,0.0,100.0,80.0,winning_ticket,Conv-4,5
1,18.9288848275316,81.0711151724684,80.08,winning_ticket,Conv-4,5
2,34.17912564989047,65.82087435010952,80.37,winning_ticket,Conv-4,5
3,46.47570498271357,53.52429501728643,80.55,winning_ticket,Conv-4,5
4,56.39973047689425,43.60026952310575,80.73,winning_ticket,Conv-4,5
5,64.41713566546146,35.58286433453854,80.42,winning_ticket,Conv-4,5
6,70.9012776780766,29.09872232192341,80.19,winning_ticket,Conv-4,5
7,76.15182365205457,23.848176347945422,79.92,winning_ticket,Conv-4,5
8,80.40926605262464,19.590733947375366,79.88,winning_ticket,Conv-4,5
9,83.8664689504104,16.13353104958961,79.58,winning_ticket,Conv-4,5
10,86.67831741046686,13.321682589533134,79.57,winning_ticket,Conv-4,5
11,88.96930504605315,11.030694953946847,79.13,winning_ticket,Conv-4,5
12,90.83943086748832,9.160569132511679,78.69,winning_ticket,Conv-4,5
13,92.36914768678578,7.63085231321422,77.98,winning_ticket,Conv-4,5
14,93.6231558945396,6.3768441054604,77.22,winning_ticket,Conv-4,5
15,94.65366115964213,5.346338840357869,74.93,winning_ticket,Conv-4,5
16,95.50251873795888,4.497481262041117,73.86,winning_ticket,Conv-4,5
17,96.2036664379404,3.7963335620595924,71.68,winning_ticket,Conv-4,5
18,96.78448543189675,3.2155145681032433,65.42,winning_ticket,Conv-4,5
19,97.26695488374548,2.7330451162545195,63.12,winning_ticket,Conv-4,5
20,97.6690127602861,2.330987239713916,59.61,winning_ticket,Conv-4,5
